operator;reference;license;rfc_date;raster;dl_normal;ul_normal;dl_max;ul_max
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47344;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47345;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47346;132000000;22200000;255000000;41000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47347;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47348;138000000;22800000;255000000;41000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47349;144000000;23400000;255000000;41000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47350;153000000;24600000;330000000;46000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47351;144000000;23400000;255000000;41000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47352;123000000;20400000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47354;42000000;7200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47357;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47359;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47360;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47361;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47362;24000000;4200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47363;24000000;4200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47365;6000000;1200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47367;42000000;7200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47368;48000000;7800000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47369;90000000;15000000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47370;123000000;20400000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47371;129000000;21600000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47372;141000000;23400000;255000000;41000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47373;153000000;24600000;255000000;41000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47374;159000000;25200000;280000000;43000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47375;150000000;24000000;330000000;46000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47376;216000000;28200000;380000000;47000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47377;228000000;28200000;380000000;47000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47378;159000000;25200000;380000000;47000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47379;132000000;22200000;280000000;43000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47380;162000000;25200000;330000000;46000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47381;228000000;28200000;380000000;47000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47382;168000000;25800000;380000000;47000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47383;153000000;24600000;380000000;47000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47384;168000000;25800000;330000000;46000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47385;165000000;25800000;280000000;43000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47386;150000000;24000000;280000000;43000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47387;141000000;23400000;255000000;41000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47388;138000000;22800000;255000000;41000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47389;126000000;21000000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47390;132000000;22200000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26724E47391;123000000;20400000;205000000;34000000
